ID,Title,Year,Conference,Did the paper successfully participate in an artifact evaluation process?,Requirements per platform [Intel],Requirements per platform [AMD],Requirements per platform [ARM],Requirements per platform [Apple],Requirements per platform [NVIDIA],Other requirement?,Environment,"""""Novelty""""",Do they mention their attack potency?,Number of platform evaluated,What benchmark do they provide?,How is it assessed?,Error rate,Comparison to other works,How does it compare to other work?,Is there any obvious threat to the comparison reliability?,Number of configuration evaluated,Is there a protocol (agreement/transmission)? ,"If so, what is it?",Is there an error correction/management described?,"If so, what is used?",Is the code available?,"Is there a minimal documentation (compilation, installation, usage)?",Is there another covert channel evaluation ?,How is it assessed?_duplicated_0,Error rate_duplicated_0,Comparison to other works_duplicated_0,How does it compare to other work?_duplicated_0,Is there any obvious threat to the comparison reliability?_duplicated_0,Number of configuration evaluated_duplicated_0,Is there a protocol (agreement/transmission)? _duplicated_0,"If so, what is it?_duplicated_0",Is there an error correction/management described?_duplicated_0,"If so, what is used?_duplicated_0",Is the code available?_duplicated_0,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_0",Is there another covert channel evaluation ?_duplicated_0,How is it assessed?_duplicated_1,Error rate_duplicated_1,Comparison to other works_duplicated_1,How does it compare to other work?_duplicated_1,Is there any obvious threat to the comparison reliability?_duplicated_1,Number of configuration evaluated_duplicated_1,Is there a protocol (agreement/transmission)? _duplicated_1,"If so, what is it?_duplicated_1",Is there an error correction/management described?_duplicated_1,"If so, what is used?_duplicated_1",Is the code available?_duplicated_1,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_1",What are they attacking?,Is the target version specified?,Are there details on the attack?,How many samples are needed?,Number of platform evaluated_duplicated_0,Comparison to other works_duplicated_2,How does it compare to other work?_duplicated_2,Is the code available?_duplicated_2,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_2",Is there another side channel evaluation ?,What are they attacking?_duplicated_0,Is the target version specified?_duplicated_0,Are there details on the attack?_duplicated_0,How many samples are needed?_duplicated_0,Number of platform evaluated_duplicated_1,Comparison to other works_duplicated_3,How does it compare to other work?_duplicated_3,Is the code available?_duplicated_3,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_3",Is there another side channel evaluation ?_duplicated_0,What are they attacking?_duplicated_1,Is the target version specified?_duplicated_1,Are there details on the attack?_duplicated_1,How many samples are needed?_duplicated_1,Number of platform evaluated_duplicated_2,Comparison to other works_duplicated_4,How does it compare to other work?_duplicated_4,Is the code available?_duplicated_4,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_4",Is there another side channel evaluation ?_duplicated_1,What are they attacking?_duplicated_2,Is the target version specified?_duplicated_2,Are there details on the attack?_duplicated_2,How many samples are needed?_duplicated_2,Number of platform evaluated_duplicated_3,Comparison to other works_duplicated_5,How does it compare to other work?_duplicated_5,Is the code available?_duplicated_5,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_5",Is there another side channel evaluation ?_duplicated_2,What are they attacking?_duplicated_3,Is the target version specified?_duplicated_3,Are there details on the attack?_duplicated_3,How many samples are needed?_duplicated_3,Number of platform evaluated_duplicated_4,Comparison to other works_duplicated_6,How does it compare to other work?_duplicated_6,Is the code available?_duplicated_6,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_6"
paccagnellaLordRingSide2021,Lord of the Ring(s): Side Channel Attacks on the CPU On-Chip Ring Interconnect Are Practical,2021,USENIX Security Symposium,Yes,Same thread,,,,,,Local,Improved a building block,Spatial resolution;Temporal resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Multiple plateforms;Capacity (bandwith considering the error rate);Transient execution,,0,,,2,Yes,"The sender and the receiver do not need to share the cache. The basic idea of the sender is to transmit a bit “1” by creating contention on the ring interconnect and a bit “0” by idling, thus creating no ring contention. Simultaneously, the receiver times loads that travel through a segment of the ring interconnect susceptible to contention due to the sender’s loads.Therefore, when the sender is sending a “1”, the receiver experiences delays in its load latency. To distinguish a “0” from a “1” the receiver can use the mean load latency: smaller load latencies are assigned to a “0”, and larger load latencies are assigned to a “1”.",No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG libgcrypt v1.5.2,Usual attack against the square-and-multiply methods in RSA decryption modular exponentiation function. Accuracy of 90% with prefetchers on and 86% with prefetchers off.,215 000 traces,2,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG libgcrypt v1.6.3,"Attacks against the secret-dependent code path in the elliptic curve point-scalar multiplication function of EdDSA Curve25519. 
Accuracy of 94% with prefetchers on and 90% with prefetchers off.",700 000 traces,2,0,,Yes,Yes,Yes,(Inter)keystroke recovery,,"The goal of the attacker is to detect when keystrokes occur and extract precise inter-keystroke timings. Keystroke processing may cause detectable peaks in ring contention. They considered two scenarios: 
i) typing on a local terminal (with physical keyboard input)
ii) typing over an interactive SSH session (with remote input).
They also tested their attack with noises in the background.",3000 samples for a SSH typing scenario.,5,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
 katzmanGatesTimeImproving2023,The Gates of Time: Improving Cache Attacks with Transient Execution,2023,USENIX Security Symposium,Yes,Same CPU,Same CPU,Same CPU,Same CPU,,,Local,Improved a building block,Spatial resolution;Temporal resolution,6,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13 ,,100 000 traces,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wangHertzbleedTurningPower2022,Hertzbleed: Turning Power Side-Channel Attacks Into Remote Timing Attacks on x86,2022,USENIX Security Symposium,Yes,Same CPU,Same CPU,,,,,Remote,New primitive,Spatial resolution,9,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Error rate,0.03,0,,,1,Yes,"Their covert channel uses a sender and a receiver. 
To transmit a 0, the sender executes a loop of or instructions with high Hamming Distance (HD) and Hamming Weight (HW) in their data flow. This loop increases the power consumption and results in lower CPU frequency values.
To transmit a 1, the sender executes a loop of shlx instructions with low HD and HW in their data flow. This loop decreases the power consumption and results in higher CPU frequency values.
The receiver measures the current CPU frequency using the unprivileged scaling_cur_freq interface from the cpufreq driver. 
They evaluated their covert channel by transmitting 1 kB of random data on the intel i7-9700 CPU.",No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,(K)ASLR break,Intel i7-9700 CPU," Ran the sender with all the 512 possible kernel base addresses, while repeating across 10 reboots.",5120,1,0,,Yes,Yes,Yes,Breaking constant-time cryptography,Cloudflare’s Interoperable Reusable Cryptographic Library (CIRCL) & Microsoft’s PQCrypto-SIDH,"Follow a chosen-ciphertext attack model.
Unoptimized version recovers the full key from a CIRCL server in 36 hours and from a PQCrypto-SIDH server in 89 hours.
The measurement were repeated 400 times and the attacker send 300 concurrent request in the CIRCL case and send 300 concurrent request in the PQCrypto-SIDH case.",520 000,2,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yanAttackDirectoriesCaches2019,"Attack Directories, Not Caches: Side-Channel Attacks in a Non-Inclusive World",2019,S&P,No evaluation for this conference this year,Same CPU,,,,,Non-inclusive LLC,Local,Improved a building block,Spatial resolution;Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed,,0,,,1,Unclear,"Sender and receiver run on separate cores and use each 7 addresses mapping to the same LLC slice, to cause conflicts in the directory. There is no agreement on which slice to use so the receiver must ""scan"" each slice to detect the one the sender is using. It is unclear how the receiver communicates to the sender that they're ready. A 0 is transmitted by idling for 5000 cycles while a 1 is transmitted by repeatedly accessing the 7 addresses for 5000 cycles. The receiver can read a bit by measuring the latency their 7 addresses. ",No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13,"12 probe addresses from the same eviction set are used, with a wait period of 500 cycles for the victim to run. The monitored victim line is located at the start of the multiply function, the number of square operations is deduced by the length between each multiply operation.",,1,0,,No,,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13,"Two helper threads are set up to access repeatedly 11 addresses in the same LLC slice and set as the target line. The attacker threads evicts the target line to the LLC by accessing 16 addresses mapped to the same L2 set as the target's. Both the square and multiply operations are monitored, with a wait interval of 4000 cycles.",,1,0,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liuLastLevelCacheSideChannel2015,Last-Level Cache Side-Channel Attacks are Practical,2015,S&P,No evaluation for this conference this year,Same CPU,,,,,,Local;VM,Improved a building block,Spatial resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Capacity (bandwith considering the error rate),22.0,2,Compare to the numbers in previous papers;Unclear,Compare to previous paper on different conditions,2,Yes,"First the sender and the receiver each allocate a buffer of at least the size of the LLC, backed up by large pages. 
Then, they both agree on two arbitrarily chosen cache-set indices (preferably without interferences from non-participating memory accesses).
After that, the sender picks from its allocated buffer two memory lines, line 0 and line 1, that map to the two agreed cache set indices. To send a “1”, the sender continuously accesses line 1 for an amount of time t. Similarly, the sender continuously accesses line 0 for a time equal to t to send a “0”.
The return-to-zero self-clocking encoding scheme makes sure there is enough time between two consecutive bits by busy waiting for a certain amount of time. Before monitoring the sender, the receiver first uses the algorithm 1 from the paper to create eviction sets set 1 and set 0 for line 1 and line 0. It then uses Prime+Probe to continuously monitor the two sets.",Yes,They conducted an experiment to measure the effect of the pause duration on channel capacity and error rate. They found that increasing the pause duration reduces the error rate but also the channel capacity.,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13,Needed 120 and 240 executions of the victim to locate the cache set respectively on the desktop and on the server platform.,5000 cycles * 360 executions of the victim.,2,1,Compare to the numbers in previous papers,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,"""Latest"" GnuPG version","They tested the attack 5 times on each of the 2 platform. Due to the larger cache size, they collected more observations on the server platform. Then they filtered out over 97% of the observations because they did not match the expected activity of a multiplier, leaving 700–1000 interesting traces.
Which they passed to the clustering algorithm. The average cluster size is around 20 traces, with a minimum of 5.",700 - 1000 traces of 5000 cycles,2,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evtyushkinCovertChannelsRandom2016,"Covert Channels through Random Number Generator: Mechanisms, Capacity Estimation and Mitigations",2016,CCS,No evaluation for this conference this year,Same CPU,,,,,,Local;VM,New primitive,Temporal resolution,3,Covert channel,Speed;Error rate;Multiple plateforms;Noise resilience;Capacity (bandwith considering the error rate),0.9,10,Compare to the numbers in previous papers,Compare to previous paper on different conditions,10,Yes,Synchronization protocol with short timing intervals during which both sender and receiver are scheduled and a single byte is transmitted. ,Yes,Reed-Solomon ECC,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicarteAuguryUsingData2022,Augury: Using Data Memory-Dependent Prefetchers to Leak Data at Rest,2022,S&P,No evaluation for this conference this year,,,,Same CPU,,,Local,New primitive,Spatial resolution,9,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,,"The toy example demonstrates how the DMP can be used to read values past the end of an array, similarly to the original Spectre attack. The array is initialized to contain random unique pointers. The author train the DMP by streaming through this array and dereferencing its pointers. This causes the DMP to prefetch the first cache line after the end of the array, interpret it as a pointer, then prefetch that value. This attack assumes the adversary can access these pointers, measuring the latency.",500,1,0,,Yes,Yes,Yes,Toy example / Microbenchmark,,"The toy example demonstrates how the DMP can be used to read values past the end of an array, similarly to the original Spectre attack. The array is initialized to contain random unique pointers. The author train the DMP by streaming through this array and dereferencing its pointers. This causes the DMP to prefetch the first cache line after the end of the array, interpret it as a pointer, then prefetch that value. The presence of this value in the cache is checked by the attacker using Prime+Probe.",4300,1,0,,Yes,Yes,Yes,(K)ASLR break,,"The confidence threshold of the prefetcher is used to test the validity of a virtual address. After the first and second accesses, the prefetcher is activated and will prefetch the third element of the array containing the target address. It will then attempt to dereference that address. If it is valid, the prefetcher will continue similarly with the fourth element of the array. If it is not, the prefetcher will have low confidence and stop issuing predictions. The attacker can then time the access latency of the fourth element to determine if the target address was valid.",,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
evtyushkinJumpASLRAttacking2016,Jump over ASLR: Attacking branch predictors to bypass ASLR,2016,MICRO,No evaluation for this conference this year,Same core,,,,,,Local,New primitive,None,1,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(K)ASLR break,,"50 samples per tested addresses
60 milliseconds to break KASLR",25600,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tatarTLBDREnhancing2022,TLB;DR: Enhancing TLB-based Attacks with TLB Desynchronized Reverse Engineering,2022,USENIX Security Symposium,Yes,Same CPU;Same core,Same CPU;Same core,,,,,Local,New primitive;Improved a building block,Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Noise resilience,0.00002,1,Authors re-evaluated the attack to compare on the same conditions,,1,Yes,"They transmit 100 000 words of 32 bits, using sequencing and error detection (6 for payload, 8 for sequencing, and 8 for error detection).",Yes,Error detection using 8 bits. The details are not in the paper.,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,(K)ASLR break,"Yes, they provide microcode version (0xea) and kernel version (5.14)","They compare to a specific attack, and use their improvement, so we can assume the setup is the same as in the reference paper.
They improve the time it takes to break ASLR by 20%.",,1,1,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,Yes,Toy example / Microbenchmark,"Yes, they provide microcode version (0xea) and kernel version (5.14)","They compare the eviction rate of their technique and TLBleed's, with a basic eviction loop, in clear and noisy settings.
They show a 2-5x improvement upon previous the previous attack.",,1,1,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,Yes,Other_Rowhammer,"Yes, they provide microcode version (0xea) and kernel version (5.14)","They implement their technique into the existing attack PTHammer, which feature TLB eviction as a building block for triggering page table walk.
They improve the hammering time by 12%.",,1,1,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
aldayaHyperDegradeGHzMHz2022,HyperDegrade: From GHz to MHz Effective CPU Frequencies,2022,USENIX Security Symposium,Yes,Same core,,,,,,Local,Improved a building block,Temporal resolution,4,"Side channel (includes (K)ASLR break, crypto attack, ...);Evaluation of the performance degradation improvement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,OpenSSL v1.1.1h,Exploit the racoon attack that leaks whether the DH shared secret needs padding on the MSB in some cases.,85277,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grasTranslationLeakasideBuffer2018,Translation Leak-aside Buffer: Defeating Cache Side-channel Protections with TLB Attacks,2018,USENIX Security Symposium,No evaluation for this conference this year,Same core,,,,,,Local,New primitive,Spatial resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Noise resilience,0.00002,0,,,2,Unclear,"They mention a framing protocol, but do not elaborate",Unclear,"They mention a framing protocol, but do not elaborate",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Libgcrypt v1.6.3,"They attack an insecure implementation of Curve 25519 EdDSA, with obvious branching each secret bits of the scalar. 
They collect traces during a signature, and use a classifier and heuristics to identify operations. They bruteforce some of the remaining bits to discover.","2 ms of capture time, 17 seconds of signals analysis with the trained classifier; and a variable amount of brute-force guessing with a negligible median work factor of 2^3",3,0,,No,,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Libgcrypt v1.6.3,"They attack an RSA exponentiation, hardened against Flush+Reload but known to be vulnerable because of inconsistent data flow.
They didn't implement a full key recovery, despite recovering 92% of the key. This is weird, and I suspect it is because they had errors at unknown places, making the recovery a complex combination problem.","1 ""capture"" recovers 92% of a key",1,0,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhangBunnyHopExploitingInstruction2023,BunnyHop: Exploiting the Instruction Prefetcher,2023,USENIX Security Symposium,Yes,Same CPU,,,,,,Local,New primitive,Spatial resolution,10,"Side channel (includes (K)ASLR break, crypto attack, ...);Reverse Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,OpenSSL v1.1.0h,"Scalar recovery on a vulnerable implementation of secp256k1.
They run the implementation in an SGX enclave to do step-by-step execution.
They disable ASLR in the enclave.",Success rate of 98% on 25 tests. We don't know how many samples are needed.,1,0,,No,,Yes,(K)ASLR break,Ubuntu 20.04 LTS with the kernel version 5.13.0-52-generic,"They targets the kill syscall, which branch on the PID value.","They test the attack on several processors with 10 random KASLR offsets (10 reboots) and each offset 10000 times. 5.78% of the attempts fail, but work when they repeat it.",4,1,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,Yes,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v0.9.8b,"Last round attack on a vulnerable AES T-table implementation, harden with page coloration.",35000 samples for one byte of the key,2,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.14,Key recovery on RSA 4096 modular exponentiation (square and always multiply with branching),100 samples  to identify the first half of the key with 100% accuracy.,1,0,,No,,No,,,,,,,,,
zhang2023TunneLsBootleggingFully,TunneLs for Bootlegging: Fully Reverse-Engineering GPU TLBs for Challenging Isolation Guarantees of NVIDIA MIG,2023,CCS,No evaluation for this conference this year,,,,,Other,,Local,New primitive,,6,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...);Reverse Engineering",Speed;Error rate;Multiple plateforms;Noise resilience,0.21,0,,,8,No,,No,They evaluate the error rate using the Levenshtein edit distance between the transmitted and received bits as the metric,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep Learning parameters,,They briefly illustrate a side-channel attack that infers which machine learning framework is used in another GPU instance. They show that the TLB activity is enough to fingerprint some frameworks.,Trace acquired during the first 30 seconds of the framwork training,1,0,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aldayaPortContentionFun2019,Port Contention for Fun and Profit,2019,S&P,No evaluation for this conference this year,Same CPU,,,,,TEE_SGX,Local;SGX;VM,New primitive,Spatial resolution,3,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,OpenSSL v1.1.0h,Key recovery on an ECDSA signature on P384 by recovering part of the nonce during a double-and-add,10000,2,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RauscherIdleLeakExploiting2024,IdleLeak: Exploiting Idle State Side Effects for Information Leakage,2024,NDSS,"Evaluation was available, but the paper didn't do/get it",Same core,,,,,WAITPKG x86 extension,Local;VM,New primitive,Temporal resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Noise resilience;Capacity (bandwith considering the error rate),3.2,3,Compare to the numbers in previous papers,Compare to previous paper on different conditions,10,Yes,"Two variants are described, corresponding to the two primitives introduced.
1) ActiveIdleLeak: the receiver repeatedly measures the timing of a nop series. To send a 0 the sender enters idle state C0.2 via instruction tpause, the receiver measures the increased performance of the nop series. To send a 1 the sender enters a busy wait loop instead.
2) PassiveIdleLeak: the receiver repeatedly enters idle state C0.2 and measure its wakeup time. To send a 0 the sender generates div-by-zero exception, leading to the sender being woken up more often. To send a 1 the sender instead does nothing.
Synchronization: on a local setup a previously agreed upon TSC value is used, while on a VM setup an alternating sequence of 1 and 0 is used to signal the start of the transmission.",No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,(Inter)keystroke recovery,Linux 6.1.0,PassiveIdleLeak is used to identify interrupts sent by the key presses. The authors play a pre-recorded sequence of keystrokes and run the attack on a logical core sibling to the logical core receiving the USB interrupts. They record the inter-keystroke timing distribution and compare it to the ground truth. They achieve a standard deviation of 950 µs and  standard error of 12 µs for the detected timings.,7000 inter-keystroke timings for training,1,0,,No,No,Yes,Fingerprinting,Firefox v113.0.2,"The authors record attack traces by running PassiveIdleLeak on a VM running on the CPU core receiving network interrupts. Accessing different websites generates different network interrupts patterns, the authors compute the short-time Fourier transform for interrupts traces for the 100 most popular websites. A CNN is then trained for classification. For evaluation, the authors consider both a closed-world and an open-world scenario (where the classifier will be presented with traces corresponding to websites not present in the training set). Authors also consider a similar setting for video fingerprinting.","Closed world: 5000 traces for website fingerprinting, 6200 traces for video. Open world: 27000 traces for website fingerprinting, 5000 traces for video fingerprinting",1,7,Compare to the numbers in previous papers,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuAllYourBase2023,All Your PC Are Belong to Us: Exploiting Non-control-Transfer Instruction BTB Updates for Dynamic PC Extraction,2023,ISCA,"Evaluation was available, but the paper didn't do/get it",Same core,,,,,TEE_SGX,Local;SGX,Improved a building block,Spatial resolution,2,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,MbedTLS v3.0,Authors attack the branch-balanced GCD function used for RSA key generation. Preemptive scheduling attack is simulated: victim calls sched_yield after the vulnerable branch.,100 victim process executions,2,0,,No,No,Yes,Fingerprinting,"MbedTLS v2.5, v2.6, v2.7, v2.14, v2.15, v2.16, v2.28, v3.0, v3.1 and GCC v7.5, v8.4, v9.4, v10.3","Authors generate victim PC traces using NightVision on two target function (bn_cmp and GCD) and over 175k functions from SGX projects. They then compute the similarities between those traces and the two target traces. They repeat a similar experiment with the GCD function from several MbedTLS versions, recompiled with several optimization levels and GCC versions, to evaluate the robustness of their function fingerprinting. ",,2,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duttaLeakyBuddiesCrossComponent2021,Leaky Buddies: Cross-Component Covert Channels on Integrated CPU-GPU Systems,2021,ISCA,No evaluation for this conference this year,Shared memory;Other,,,,,"iGPU_Target integrated GPU : one process runs on the CPU, the other on the iGPU, both share the LLC and the bus",Local,New primitive,Spatial resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,2.0,0,,,4,Yes,"There is a handshake before each bit transfer to ensure sync. The bit is then transfered with the Prime+Probe-like attack on the LLC
Agreement on the sets to be used is assumed to be pre-computed (it requires some work because of the asymetric view of the memory hierarchy)",No,,No,No,Yes,Speed;Error rate,1.5,0,,,2,Yes,"Not really a protocol, but there is a calibration step before starting communication, that fine tune an ""iteration factor"". This is needed because of the heterogenous setting : CPU and GPU operate at very different frequency, so it's difficult to get them to synchronize, and really depends on the platform.",No,,No,No,No,,,,,,,,,,,,,Toy example / Microbenchmark,,PoC of Prime+Probe side channel to build a memorygram representing the activity of some LLC sets ,,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lippARMageddonCacheAttacks2016,ARMageddon: Cache Attacks on Mobile Devices,2016,USENIX Security Symposium,No evaluation for this conference this year,,,Same CPU,,,TEE_SGX,Local;SGX,New primitive,Temporal resolution,4,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms,1.1,5,Compare to the numbers in previous papers,Compare to previous paper on different conditions,5,Yes,"The covert channel transmits packets of n-bit data, an s-bit sequence number, and a c-bit checksum that is computed over data and sequence number.",No,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,(Inter)keystroke recovery,,"They monitor various events with a cache templating approach: 
* power button 
* long touch
* touch 
* swipe 
* text inputs",,3,0,,Yes,Yes,Yes,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,Bouncy Castle 1.5 (Java),First round attack on AES T-table,"Flush+Reload approach: 3700 encryptions (theoretical, perfect traces); Prime+Probe: 11000 encryptions ",1,0,,No,No,Yes,Other_Spy on TrustZone code execution,,"Show that TrstZone isolation doesn't protect from these attacks
Only demonstrate on a toy example, since reverse engeneering effort is required for more impactful attacks",,2,0,,No,No,No,,,,,,,,,,,,,,,,,,,
gerlachSecurityRISCMicroarchitectural2023,A Security RISC: Microarchitectural Attacks on Hardware RISC-V CPUs,2023,S&P,No evaluation for this conference this year,,,,,,RISC_RISC-V: Same CPU (Same core for some attacks),Local,New primitive,Spatial resolution;Temporal resolution,2,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1e,First round attack on the classical AES T-table. They only demonstrate that we can recover the first byte of the first round key.,300 encyptions for the first byte in the best case,2,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,MbedTLS v1.3.10,"Attack on vulnerable square-and-multiply to recover an RSA-2048 private exponent.
The attacker must have access to a decryption oracle to repeat the decryption of the same message n times (to get reliable information)",1000,2,0,,Yes,Yes,Yes,(K)ASLR break,,"They assume that no kernel-level mitigations against microarchitectural KASLR breaks, such (KAISER, LAZARUS, FLARE) are deployed (which is likely since they are not implemented for RISC-V).

They exploit the side-channel from the page-table walk to infer whether a kernel address is physically backed. There is a difference in timing depending on the level in the page-table where the page fault occurs, so it is noticeable if it occurs in the last level, because of a permission check.
","Full break, testing all possible locations of the kernel, takes 745ms on C906 and 54ms on U74",2,0,,Yes,Yes,Yes,Fingerprinting,,"They present a way toy example of interrupt detection, that can be used to fingerprint the behavior of the core on a specific period of time.
This is done by reading the number of retired instructions.",,1,0,,Yes,Yes,Yes,Other_Leaking content of a Drop-Box folder,,"By looking at the number of retired instructions upon an attempted access to a write-only folder, one can learn whether the accessed file exists because file-handling code in the kernel is not implemented using constant-time algorithms, we can see differences when opening non-existing files and files with mismatching permissions.",2,2,0,,Yes,Yes
